|dates|Boyd_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Boyd_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Boyd_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Boyd_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Boyd_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Boyd_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Boyd_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Boyd_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-02|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-03|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-04|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-05|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-06|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-07|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-08|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-09|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-10|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-11|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-12|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-13|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-14|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-15|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-16|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-17|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-18|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-19|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-20|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-21|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-22|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-23|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
0|2020-01-24|16775.0|0|1179.0|0|6.566781775648881|0|17954.0|0
