|dates|Wayne_Michigan_UnitedStates.BLS_EmployedPopulation.data|Wayne_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Wayne_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Wayne_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Wayne_Michigan_UnitedStates.BLS_UnemploymentRate.data|Wayne_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Wayne_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Wayne_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-02|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-03|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-04|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-05|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-06|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-07|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-08|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-09|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-10|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-11|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-12|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-13|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-14|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-15|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-16|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-17|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-18|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-19|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-20|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-21|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-22|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-23|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
0|2020-01-24|766204.0|0|41940.0|0|5.189669167871073|0|808144.0|0
