|dates|Nelson_Virginia_UnitedStates.BLS_EmployedPopulation.data|Nelson_Virginia_UnitedStates.BLS_EmployedPopulation.missing|Nelson_Virginia_UnitedStates.BLS_UnemployedPopulation.data|Nelson_Virginia_UnitedStates.BLS_UnemployedPopulation.missing|Nelson_Virginia_UnitedStates.BLS_UnemploymentRate.data|Nelson_Virginia_UnitedStates.BLS_UnemploymentRate.missing|Nelson_Virginia_UnitedStates.BLS_LaborForcePopulation.data|Nelson_Virginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-02|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-03|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-04|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-05|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-06|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-07|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-08|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-09|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-10|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-11|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-12|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-13|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-14|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-15|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-16|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-17|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-18|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-19|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-20|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-21|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-22|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-23|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-24|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-25|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-26|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-27|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-28|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-29|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-30|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-01-31|7352.0|0|199.0|0|2.635412528141968|0|7551.0|0
0|2020-02-01|7461.5|0|188.5|0|2.4640522875816995|0|7650.0|0
0|2020-02-02|7461.5|0|188.5|0|2.4640522875816995|0|7650.0|0
0|2020-02-03|7461.5|0|188.5|0|2.4640522875816995|0|7650.0|0
0|2020-02-04|7461.5|0|188.5|0|2.4640522875816995|0|7650.0|0
0|2020-02-05|7461.5|0|188.5|0|2.4640522875816995|0|7650.0|0
0|2020-02-06|7461.5|0|188.5|0|2.4640522875816995|0|7650.0|0
0|2020-02-07|7461.5|0|188.5|0|2.4640522875816995|0|7650.0|0
0|2020-02-08|7461.5|0|188.5|0|2.4640522875816995|0|7650.0|0
0|2020-02-09|7461.5|0|188.5|0|2.4640522875816995|0|7650.0|0
0|2020-02-10|7461.5|0|188.5|0|2.4640522875816995|0|7650.0|0
0|2020-02-11|7461.5|0|188.5|0|2.4640522875816995|0|7650.0|0
0|2020-02-12|7461.5|0|188.5|0|2.4640522875816995|0|7650.0|0
0|2020-02-13|7461.5|0|188.5|0|2.4640522875816995|0|7650.0|0
0|2020-02-14|7461.5|0|188.5|0|2.4640522875816995|0|7650.0|0
0|2020-02-15|7461.5|0|188.5|0|2.4640522875816995|0|7650.0|0
0|2020-02-16|7461.5|0|188.5|0|2.4640522875816995|0|7650.0|0
0|2020-02-17|7461.5|0|188.5|0|2.4640522875816995|0|7650.0|0
