|dates|Shelby_Tennessee_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Shelby_Tennessee_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Shelby_Tennessee_UnitedStates.Male_Total_Population.data|Shelby_Tennessee_UnitedStates.Male_Total_Population.missing|Shelby_Tennessee_UnitedStates.Female_Total_Population.data|Shelby_Tennessee_UnitedStates.Female_Total_Population.missing|Shelby_Tennessee_UnitedStates.MaleAndFemale_Under18_Population.data|Shelby_Tennessee_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-02|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-03|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-04|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-05|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-06|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-07|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-08|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-09|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-10|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-11|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-12|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-13|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-14|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-15|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-16|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-17|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-18|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-19|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-20|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-21|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-22|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-23|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-24|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-25|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-26|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-27|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-28|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-29|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-30|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-01-31|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-01|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-02|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-03|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-04|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-05|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-06|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-07|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-08|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-09|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-10|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-11|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-12|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-13|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-14|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-15|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-16|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-17|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-18|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-19|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-20|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-21|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-22|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-23|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-24|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-25|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-26|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-27|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-28|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-02-29|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-01|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-02|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-03|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-04|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-05|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-06|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-07|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-08|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-09|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-10|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-11|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-12|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-13|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-14|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-15|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-16|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-17|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-18|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-19|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-20|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-21|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-22|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-23|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-24|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-25|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-26|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-27|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-28|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-29|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-30|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-03-31|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2020-04-01|127099.0|0|444522.0|0|491242.0|0|232721.0|0
